meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
390726,886732,Wednesday 2nd November 2022,Crayford,11:54,A7,380m,1st £125 | 2nd £45 | Others £45 Race Total £350,6th,1,607694,Sweet Soul Music,D Blackbird,"2ndFr 1/2-Crd3,Crd&Stb4",5/1,03.69,24.90 (5 1/4),Jan-2021,27.5,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.5 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=390726&raceId=886732
390563,885472,Thursday 27th October 2022,Crayford,15:38,A8,380m,1st £120 | 2nd £45 | Others £45 Race Total £345,1st,1,607694,Sweet Soul Music,D Blackbird,"Bmp1,Ld4,Rls",4/1,03.65,23.92 (2 3/4),Jan-2021,27.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=390563&raceId=885472
390318,883335,Friday 21st October 2022,Crayford,17:54,A9,380m,1st £110 | 2nd £45 | Others £45 Race Total £335,1st,1,607694,Sweet Soul Music,D Blackbird,"Bmp1,Ld 1/2,Rls",6/4F,03.76,24.30 (5 1/4),Jan-2021,27.6,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.6 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=390318&raceId=883335
390016,880831,Wednesday 12th October 2022,Crayford,13:09,A9,380m,1st £110 | 2nd £45 | Others £45 Race Total £335,3rd,1,607694,Sweet Soul Music,D Blackbird,"Crd 1/4,Rls",2/1,03.71,24.56 (2 1/4),Jan-2021,27.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=390016&raceId=880831
389807,879388,Thursday 6th October 2022,Crayford,14:42,A9,380m,1st £110 | 2nd £45 | Others £45 Race Total £335,3rd,2,607694,Sweet Soul Music,D Blackbird,MsdBrk,9/2,03.71,24.28 (2 1/2),Jan-2021,27.8,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.8 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=389807&raceId=879388
389594,877540,Thursday 29th September 2022,Crayford,16:38,A9,380m,1st £110 | 2nd £45 | Others £45 Race Total £335,2nd,2,607694,Sweet Soul Music,D Blackbird,"EP,2ndFrom1",11/4,03.71,24.07 (6 3/4),Jan-2021,27.5,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.5 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=389594&raceId=877540
389409,876007,Saturday 24th September 2022,Crayford,11:09,A10,380m,1st £100 | 2nd £40 | Others £40 Race Total £300,1st,1,607694,Sweet Soul Music,D Blackbird,"EP,SnLd,Mid&BmpRnUp",7/4F,03.69,24.32 (3 1/4),Jan-2021,27.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=389409&raceId=876007
389310,874900,Tuesday 20th September 2022,Crayford,20:03,A10,380m,1st £100 | 2nd £40 | Others £40 Race Total £300,2nd,1,607694,Sweet Soul Music,D Blackbird,"EP,2ndFrom1,RanOn",9/2,03.72,24.29 (1/2),Jan-2021,27.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=389310&raceId=874900
388830,871012,Wednesday 7th September 2022,Crayford,13:09,A10,380m,1st £100 | 2nd £40 | Others £40 Race Total £300,2nd,1,607694,Sweet Soul Music,D Blackbird,"MidToRls,Ld 1/4ToRnIn",5/1,03.76,24.76 (1 1/4),Jan-2021,27.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=388830&raceId=871012
387764,862757,Friday 5th August 2022,Brighton & Hove,13:09,A11,500m,1st £100 | Others £40 Race Total £300,4th,1,607694,Sweet Soul Music,D Blackbird,"SAway,Railed,Crowded 3/4",11/1,03.94,31.83 (7 1/2),Jan-2021,27.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=387764&raceId=862757
387299,858723,Thursday 21st July 2022,Brighton & Hove,20:54,A11,500m,1st £100 | Others £40 Race Total £300,3rd,1,607694,Sweet Soul Music,D Blackbird,"VerySlowAway,Railed",7/2,03.98,31.45 (4 1/2),Jan-2021,27.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=387299&raceId=858723
387142,857481,Thursday 14th July 2022,Brighton & Hove,19:36,A11,500m,1st £100 | Others £40 Race Total £300,5th,1,607694,Sweet Soul Music,D Blackbird,"VerySlowAway,Rails",2/1F,03.94,31.53 (SH),Jan-2021,27.9,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 27.9 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=387142&raceId=857481
