dogName,dogId
Dillymore Debs,445701
Bellinter Park,445801
Silvus Magpie,446001
Burnt Oak Bunny,446401
Ferdia Amhic,446801
Tullymurry Pick,447101
My Sherona,447501
Franco Bound,447601
Droopys Cody,448201
Hollyoak Spud,448401
Newlawn Aoife,448701
Tubbercurry Hawk,448801
Carriglad Jacko,449401
Twist Back,449501
Jazarrinn Gold,449801
Bocko,449901
Enzo Tiger,450001
Troopers Hero,450301
Ruby Too,450601
Are You Mine,450901
Fabulous Harriet,451001
Riverside Blacky,102671
Dunham Baby,451801
Celestialgabriel,451901
Santro Fly,452001
Janey Phoenix,452201
That Gal Emma,452301
Ashburn Lark,452401
Swift Howard,452801
Skywalker Jaypee,452901
Starshinestella,453001
Daisy Blue,453101
Dairy Belle,453201
Craigs Memorie,453401
Pixie Punk,453701
Acraboy King,454101
Kelva Ace,454201
Ribble Rush,454501
Brannig Boomboom,107481
Gizmo Lightening,455101
Madam Muddled,455401
Old Mill,455701
Worsboro Siren,455901
Dodake Express,456501
Ballymac Ruby,456601
Magical Spectar,456701
Kranky Scott,456801
Droopys Sambuca,457101
Poppy Dazzler,457201
Bimbam Priscilla,457301
Rattling Maguire,457401
Athlacca King,457501
Swift Turbo,457601
Northland Mario,457701
Kilcommon,458501
Heathmill Blue,458901
Droopys Haiti,459501
Burgess Import,459601
Make It Up,503808
Jaxx The Boomer,460101
Dark Prince Duke,460201
Pollysadiva,460601
Moorland Lady,460701
Wildest Jewel,460801
Cooltemples Boss,460901
Upward Mario,461101
Lismadine Oran,461301
Soberano Girl,461401
Camlin Puffin,462101
Local Villian,463101
Leahs Laddie,463301
Killala Fox,463401
Keepers River,463501
Borna Lough,463701
Mythical Hunter,463901
Center Stage,464401
Scholars Impact,464501
Skyfall Silver,464901
Blythe Mist,465401
Calzaghe Junior,465501
Woodbine Jack,466201
Go On Conor,466301
Sizzling Star,466401
Mexes Buzz,466601
The Unwashed,466801
Blackrose Black,466901
Prettys Pride,467001
Jaytee Phoenix,467201
Like A Hurricane,467401
Huarache Stan,467501
Sullane Dara,468201
Beautys Hi,468401
Mountjoy Anna,468701
Magical Pippy,469101
Ill Tel U Nolies,469201
Fahrenheit Holly,469501
Footfield Saul,469601
Galactic Brae,469801
Rhaegal,470301
Supreme Oslo,470401
Utopia Symphony,470501
Halls Legion,470801
Whinmoor Tim,471001
Scolari Secret,471801
Keeperhill Lexi,471901
Aero Tokarev,472001
Axel Maisie,472101
Tommys Prince,472201
Meadows Lass,472301
Suirview Alan,472601
Mystical Mick,472701
Blackrose Violet,472801
Gunboat Star,472901
Our Tycoon,473001
Lozzas Diamond,473101
Scarletts Boy,473201
Jaydens Joy,473301
Noirs Snapchat,473501
Roxys Katie,473701
Trionas Times,473901
Poormans Touch,474201
Fabulous Project,474301
Central Park,474701
Droopys Whizz,475001
Katies Contact,475601
Shancol Sean,475801
Impressive Lad,476001
Garryglass Scout,476101
Carneys Ester,476201
Jet Stream Mist,476501
Maxitout,476801
Logic Reason,476901
Cavan Chief,477001
Cabra Daisy,110221
Lemkar Matty,477501
Made Of Steel,477601
Society Angus,477701
Move The Chair,477901
Chauffeur Ossie,478401
Design Sal,478701
Suncroft Suzie,479101
Sunshine Bullet,479401
Away Shelly,102222
Balyfidora Billy,480001
Bonanzas Home,480501
Kahara Kev,480601
Daddys Lil Girl,480801
Droopys Rain,480901
Tyford Bloom,481101
Unlikely Raven,481601
Fawkham Nissan,481701
Knockard Spring,481901
Woe Boy,482301
Punk Rock Babe,482701
Lonesome Midget,483101
Ickle Trick,483201
Deanridge Casba,483401
Ballyhone Forest,473576
Sadlers Wells,483601
Hitachi Jade,483801
Mystical Beauty,484201
Scot Daddy,485201
Sophies Eclipse,485301
Society Grand,474395
Ballymac Magpie,485801
Feora Bailey,485901
Tommys Diva,486001
Lagile Brexit,486101
Monbeg Pedro,486201
Pennys Tingle,486701
Hit Man,486801
Classy Fifi,486901
Ballyeglish Lass,487301
Fozzie Farouche,487401
Divine Joy,487501
Greenwell Athena,487801
Saint Estephe,488001
Ogalla Prince,488301
Nut Hill Martin,488601
Westminster Live,488801
Moreton Madras,488901
